model,repeat,accuracy,precision,recall,f1,macro_f1,roc_auc,pr_auc,balanced_accuracy,brier
RF,12,0.9081632653061225,0.9545454545454546,0.8571428571428571,0.9032258064516129,0.907923582837457,0.9243544356518116,0.9512533490661287,0.9081632653061225,0.09529231913343708
ET,12,0.9183673469387755,0.9659090909090909,0.8673469387755102,0.9139784946236559,0.9181542958555173,0.9349229487713453,0.95632696298464,0.9183673469387754,0.09218554778157964
GB,12,0.8622448979591837,0.8817204301075269,0.8367346938775511,0.8586387434554974,0.8621551926232711,0.9066014160766347,0.9414390103258157,0.8622448979591837,0.11106623051650429
KNN,12,0.8061224489795918,0.7884615384615384,0.8367346938775511,0.8118811881188119,0.805940594059406,0.8943148688046647,0.9124349009588915,0.8061224489795918,0.11452871541659956
Ensemble,12,0.9030612244897959,0.9438202247191011,0.8571428571428571,0.8983957219251337,0.9028563975479327,0.9304456476468138,0.9542810913441409,0.903061224489796,0.09677010396128048
LR,13,0.9132653061224489,0.7272727272727273,0.9523809523809523,0.8247422680412371,0.8835575746985846,0.9876314162028447,0.9598265564298261,0.9274891774891775,0.13481322578096694
SVM,13,0.9030612244897959,0.6885245901639344,1.0,0.8155339805825242,0.874895017972923,0.9969078540507111,0.987390947945188,0.9383116883116883,0.11905626291631687
RF,13,0.9285714285714286,0.75,1.0,0.8571428571428571,0.9047619047619047,0.9993815708101423,0.9977034385317751,0.9545454545454546,0.06898056829901894
ET,13,0.9387755102040817,0.7777777777777778,1.0,0.875,0.9172297297297297,1.0,1.0,0.961038961038961,0.06740711055084812
GB,13,0.923469387755102,0.7368421052631579,1.0,0.8484848484848485,0.8986451546178509,0.9979901051329623,0.992391148160908,0.9512987012987013,0.08604280702513693
KNN,13,0.8826530612244898,0.6461538461538462,1.0,0.7850467289719626,0.8521724872929988,0.9948979591836734,0.9659107303582551,0.9253246753246753,0.0621811149618481
Ensemble,13,0.923469387755102,0.7368421052631579,1.0,0.8484848484848485,0.8986451546178509,0.9998453927025356,0.9994462901439647,0.9512987012987013,0.0708470782091184
LR,14,0.6581632653061225,0.514018691588785,0.7857142857142857,0.6214689265536724,0.6549205097884641,0.8433106575963718,0.7793319462596292,0.6865079365079365,0.1601968627397247
SVM,14,0.9132653061224489,0.8354430379746836,0.9428571428571428,0.8859060402684564,0.9079735962659155,0.9607709750566893,0.9123635574055621,0.9198412698412699,0.07050160445304965
RF,14,0.8877551020408163,0.8636363636363636,0.8142857142857143,0.8382352941176471,0.8761488970588236,0.9553287981859411,0.916515650968435,0.8714285714285714,0.0927577488266595
ET,14,0.8775510204081632,0.7738095238095238,0.9285714285714286,0.8441558441558441,0.8716577540106951,0.9441043083900227,0.9111759592624972,0.8888888888888888,0.09679453104816511
GB,14,0.8367346938775511,0.8166666666666667,0.7,0.7538461538461538,0.8158543746330006,0.92562358276644,0.8836062889140849,0.8063492063492064,0.15672699180098973
KNN,14,0.8622448979591837,0.7415730337078652,0.9428571428571428,0.8301886792452831,0.8571544254595513,0.9187074829931974,0.8406503467479725,0.8801587301587301,0.10868342454777703
Ensemble,14,0.8826530612244898,0.7974683544303798,0.9,0.8456375838926175,0.8754936890656503,0.9481859410430838,0.9074222706114268,0.8865079365079365,0.10133731157553257
LR,15,0.8673469387755102,0.8529411764705882,0.8877551020408163,0.87,0.8672916666666667,0.9631403581840899,0.9665498498722888,0.8673469387755102,0.23870460549150307
SVM,15,0.8469387755102041,0.8695652173913043,0.8163265306122449,0.8421052631578947,0.846795205836373,0.959704289879217,0.9637172796339304,0.846938775510204,0.1408714954682673
RF,15,0.8826530612244898,0.9120879120879121,0.8469387755102041,0.8783068783068783,0.8825031928480205,0.9691795085381091,0.9712227322456709,0.8826530612244898,0.09354806090612124
ET,15,0.8469387755102041,0.925,0.7551020408163265,0.8314606741573034,0.8456368791347264,0.9418992086630571,0.9495398779216685,0.846938775510204,0.1211407574479048
GB,15,0.8928571428571429,0.9529411764705882,0.826530612244898,0.8852459016393442,0.8923837163699113,0.9553311120366513,0.9649336933778878,0.8928571428571428,0.11687332952579477
KNN,15,0.826530612244898,0.9324324324324325,0.7040816326530612,0.8023255813953488,0.8238900634249471,0.8484485630987089,0.8919509027062205,0.826530612244898,0.1592870790156641
Ensemble,15,0.8724489795918368,0.9506172839506173,0.7857142857142857,0.8603351955307262,0.8714821517559734,0.9625156184922948,0.9663300475481262,0.8724489795918366,0.10653002007434925
LR,16,0.8928571428571429,0.64,0.5714285714285714,0.6037735849056604,0.7709133411253966,0.8375850340136054,0.6665250765382806,0.7589285714285714,0.11827073674511539
SVM,16,0.9387755102040817,0.7222222222222222,0.9285714285714286,0.8125,0.8879573170731707,0.9861819727891157,0.9555828137706694,0.9345238095238095,0.030488948067619686
RF,16,0.8877551020408163,0.5681818181818182,0.8928571428571429,0.6944444444444444,0.8128472222222223,0.9774659863945577,0.921636479158401,0.8898809523809523,0.04078682963280171
ET,16,0.9285714285714286,0.6944444444444444,0.8928571428571429,0.78125,0.8692835365853658,0.9734268707482994,0.9308520395521487,0.9136904761904763,0.03876788823516806
GB,16,0.923469387755102,0.696969696969697,0.8214285714285714,0.7540983606557377,0.8543905700559655,0.9672619047619048,0.8715921609773833,0.8809523809523809,0.05792762719226919
